time/total_timesteps,train/explained_variance,train/value_loss,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/entropy_loss,train/policy_loss,train/learning_rate,train/n_updates
1540096,0.9677056111395359,0.0303238146007061,3.4066126346588135,307,188,35.69,0.18839616,5012,-0.2838461995124817,-0.1597013771533966,0.000147915264,187
1572864,0.9386176280677319,0.07232917100191116,3.4473133087158203,307,192,35.6,0.18708544,5117,-0.27375879883766174,-0.1257401555776596,0.000146801152,191
1605632,0.9498471468687057,0.05523107945919037,3.3967278003692627,307,196,37.1,0.18577472,5227,-0.2818234860897064,-0.14665758609771729,0.00014568704,195
1638400,0.9692631307989359,0.02938339114189148,3.4628493785858154,307,200,35.83,0.184464,5333,-0.26539725065231323,-0.15091869235038757,0.00014457292800000002,199
1671168,0.9680785574018955,0.03400111198425293,3.475691795349121,307,204,35.89,0.18315327999999997,5438,-0.2564161419868469,-0.15255394577980042,0.00014345881600000003,203
1703936,0.9504681453108788,0.05717075243592262,3.4955856800079346,307,208,34.71,0.18184256,5545,-0.2617323398590088,-0.16763310134410858,0.000142344704,207
1736704,0.9490986280143261,0.05034096911549568,3.490922451019287,307,212,35.07,0.18053184,5652,-0.2544362545013428,-0.16475871205329895,0.00014123059200000002,211
1769472,0.9712962917983532,0.029319653287529945,3.4539670944213867,307,216,35.62,0.17922112,5758,-0.26240479946136475,-0.19448861479759216,0.00014011648,215
1802240,0.9703361969441175,0.029213711619377136,3.5126428604125977,307,220,34.55,0.1779104,5864,-0.2317020744085312,-0.1533815860748291,0.000139002368,219
1835008,0.9618400037288666,0.03306685388088226,3.4422192573547363,307,224,34.29,0.17659967999999998,5970,-0.23964270949363708,-0.17813363671302795,0.000137888256,223
1867776,0.9669961854815483,0.033018846064805984,3.468972682952881,307,228,35.25,0.17528896,6076,-0.24519968032836914,-0.19424618780612946,0.000136774144,227
1900544,0.960532434284687,0.04303566738963127,3.3294284343719482,307,232,35.12,0.17397824,6181,-0.2639170289039612,-0.19796723127365112,0.00013566003200000002,231
1933312,0.967078011482954,0.03546956554055214,3.4764745235443115,307,236,34.89,0.17266752,6288,-0.26101431250572205,-0.20050084590911865,0.00013454592,235
1966080,0.9671922996640205,0.02781265415251255,3.5357837677001953,307,240,34.2,0.17135679999999998,6397,-0.2330053448677063,-0.17986372113227844,0.00013343180800000001,239
1998848,0.9706534259021282,0.032032981514930725,3.4485061168670654,307,244,35.76,0.17004608,6503,-0.23967301845550537,-0.20471686124801636,0.000132317696,243
2031616,0.9789611287415028,0.021996811032295227,3.4552972316741943,307,248,35.45,0.16873536,6608,-0.2372187077999115,-0.22922159731388092,0.000131203584,247
2064384,0.9696643985807896,0.025907129049301147,3.3994076251983643,307,252,37.66,0.16742464,6716,-0.2529239356517792,-0.24261842668056488,0.00013008947200000002,251
2097152,0.9678249880671501,0.037789225578308105,3.4543747901916504,307,256,35.79,0.16611392,6821,-0.2547658085823059,-0.2245599627494812,0.00012897536000000003,255
2129920,0.976761881262064,0.021761510521173477,3.5123746395111084,307,260,34.77,0.16480319999999998,6927,-0.24179986119270325,-0.2081642746925354,0.000127861248,259
2162688,0.9713039398193359,0.027184734120965004,3.3729846477508545,307,264,36.61,0.16349248,7034,-0.24789445102214813,-0.2503902316093445,0.000126747136,263
2195456,0.9678430110216141,0.03007112443447113,3.376723289489746,307,268,36.19,0.16218176,7141,-0.26366952061653137,-0.2642509937286377,0.000125633024,267
2228224,0.9731304850429296,0.03847061097621918,3.3765597343444824,307,272,36.56,0.16087104,7247,-0.255268931388855,-0.2671608328819275,0.00012451891200000002,271
2260992,0.9620123840868473,0.031680282205343246,3.426804780960083,307,276,34.3,0.15956031999999998,7353,-0.2536219358444214,-0.2637619376182556,0.0001234048,275
2293760,0.9599846825003624,0.031112603843212128,3.3225345611572266,307,280,36.3,0.1582496,7460,-0.2544655203819275,-0.3155111074447632,0.000122290688,279
2326528,0.9618247523903847,0.03885440528392792,3.3451287746429443,307,284,36.2,0.15693888,7567,-0.26890289783477783,-0.26886892318725586,0.00012117657600000001,283
2359296,0.962511483579874,0.04601237550377846,3.411555528640747,307,288,34.68,0.15562816000000002,7675,-0.2528877556324005,-0.20382562279701233,0.000120062464,287
2392064,0.9614023268222809,0.028021499514579773,3.4202651977539062,307,292,34.98,0.15431743999999997,7783,-0.2350330948829651,-0.2977483868598938,0.000118948352,291
2424832,0.9403104186058044,0.06358102709054947,3.2124223709106445,307,296,37.05,0.15300671999999998,7889,-0.24870887398719788,-0.3538496494293213,0.00011783424000000001,295
2457600,0.9524785540997982,0.040148746222257614,3.0921249389648438,307,300,38.42,0.151696,7995,-0.25916507840156555,-0.31158024072647095,0.00011672012800000002,299
2490368,0.9388472065329552,0.08784390240907669,3.21309232711792,307,304,38.06,0.15038528,8103,-0.25132036209106445,-0.1398741900920868,0.000115606016,303
2523136,0.9603280201554298,0.05290580540895462,3.3973662853240967,307,308,34.82,0.14907455999999997,8210,-0.24011048674583435,-0.17239126563072205,0.000114491904,307
2555904,0.9669673852622509,0.023632299154996872,3.4143404960632324,307,312,34.94,0.14776383999999998,8314,-0.21566122770309448,-0.2795114517211914,0.00011337779200000002,311
2588672,0.9500711150467396,0.05774244666099548,3.3023743629455566,307,316,36.56,0.14645312,8421,-0.2312655746936798,-0.39507681131362915,0.00011226368,315
2621440,0.9328459575772285,0.08889616280794144,3.010432481765747,307,320,39.99,0.1451424,8528,-0.24901525676250458,-0.40618833899497986,0.000111149568,319
2654208,0.9423809871077538,0.06461264193058014,3.375717878341675,307,324,35.79,0.14383168,8636,-0.24915093183517456,-0.30365198850631714,0.00011003545600000001,323
2686976,0.9415756836533546,0.10014024376869202,3.2428383827209473,307,328,38.28,0.14252096,8743,-0.24733805656433105,-0.16174274682998657,0.000108921344,327
2719744,0.9564976505935192,0.056642740964889526,3.2697057723999023,307,332,37.09,0.14121024,8849,-0.2394324243068695,-0.15622711181640625,0.00010780723200000001,331
