train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/policy_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,time/iterations,train/learning_rate,train/explained_variance
899,-5.3515849113464355,3207,0.16346514285714286,0.02067366987466812,1382400,53.45,430,-0.8172215223312378,0.7727751135826111,900,0.00025068342857142853,-0.2055453062057495
919,-7.5807881355285645,3282,0.16265325714285717,0.019260060042142868,1413120,75.27,430,-0.8248589038848877,1.0921941995620728,920,0.00024958628571428566,-0.6219464540481567
939,-7.447868824005127,3355,0.16184137142857144,0.014075551182031631,1443840,73.86,430,-0.8152405619621277,0.9082145690917969,940,0.00024848914285714285,-0.4217613935470581
959,-6.711320877075195,3429,0.16102948571428571,0.023306986317038536,1474560,65.49,429,-0.8229467272758484,0.9628616571426392,960,0.000247392,-0.2787071466445923
979,-6.095150947570801,3504,0.16021760000000002,0.01000810693949461,1505280,61.41,429,-0.8211261630058289,0.8315786123275757,980,0.0002462948571428571,-0.12400102615356445
999,-5.992115497589111,3579,0.1594057142857143,0.018547384068369865,1536000,60.71,429,-0.8254267573356628,0.926433801651001,1000,0.00024519771428571424,-0.2268056869506836
1019,-5.011225700378418,3655,0.1585938285714286,0.018320517614483833,1566720,51.0,428,-0.8281064033508301,0.7808068990707397,1020,0.0002441005714285714,-0.45671677589416504
1039,-6.481842517852783,3732,0.15778194285714287,0.018730510026216507,1597440,66.02,427,-0.810948371887207,0.9121567010879517,1040,0.00024300342857142853,-0.5755027532577515
1059,-6.835712909698486,3805,0.15697005714285717,0.025127775967121124,1628160,65.32,427,-0.8150469064712524,0.8916806578636169,1060,0.00024190628571428568,-0.3383021354675293
1079,-6.664528846740723,3878,0.15615817142857144,0.015976212918758392,1658880,66.2,427,-0.821392297744751,0.9408220648765564,1080,0.00024080914285714281,-0.7925474643707275
1099,-7.470521926879883,3955,0.15534628571428571,0.013010714203119278,1689600,73.03,427,-0.8283864855766296,0.9117118120193481,1100,0.00023971199999999994,-0.1948838233947754
1119,-6.6414899826049805,4028,0.15453440000000002,0.014488931745290756,1720320,72.24,427,-0.8266735076904297,0.8626257181167603,1120,0.0002386148571428571,-0.15236663818359375
1139,-6.88515567779541,4104,0.1537225142857143,0.016578851267695427,1751040,66.5,426,-0.8248449563980103,0.9337157607078552,1140,0.00023751771428571426,-0.8158864974975586
1159,-6.883791923522949,4178,0.1529106285714286,0.018408045172691345,1781760,70.31,426,-0.8322569727897644,0.8501331210136414,1160,0.0002364205714285714,-0.3244626522064209
