train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/policy_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,time/iterations,train/learning_rate,train/explained_variance
2879,-7.4827656745910645,10593,0.08308845714285716,0.01142195612192154,4423680,79.1,417,-0.8308898210525513,0.7046782374382019,2880,0.0001420662857142857,-0.24017012119293213
2899,-6.073118686676025,10667,0.08227657142857145,0.009187973104417324,4454400,63.09,417,-0.8233448266983032,0.8280135989189148,2900,0.00014096914285714285,-0.22027218341827393
2919,-7.994412899017334,10744,0.08146468571428572,0.01172332838177681,4485120,80.02,417,-0.8253496885299683,0.7811218500137329,2920,0.000139872,-0.3860182762145996
2939,-7.036693096160889,10819,0.08065280000000001,0.022944878786802292,4515840,70.83,417,-0.8196104764938354,0.7790945768356323,2940,0.00013877485714285714,-0.3227595090866089
2959,-6.064641952514648,10894,0.0798409142857143,0.01290238555520773,4546560,63.98,417,-0.8199759721755981,0.8246229887008667,2960,0.00013767771428571427,-0.12598013877868652
2979,-6.244227886199951,10967,0.07902902857142859,0.022480688989162445,4577280,64.68,417,-0.8255133628845215,0.8910646438598633,2980,0.0001365805714285714,-0.3944365978240967
2999,-7.892149448394775,11039,0.07821714285714287,0.018023986369371414,4608000,76.49,417,-0.833580732345581,0.9110393524169922,3000,0.00013548342857142855,-0.12618780136108398
3019,-5.943735122680664,11109,0.07740525714285716,0.018632028251886368,4638720,66.56,417,-0.8272837400436401,0.7803786993026733,3020,0.0001343862857142857,-0.21505653858184814
3039,-6.103426456451416,11182,0.07659337142857144,5.1482271373970434e-05,4669440,63.34,417,-0.8270549774169922,0.6667458415031433,3040,0.00013328914285714284,-0.19623231887817383
3059,-6.666226387023926,11254,0.07578148571428572,0.0011004110565409064,4700160,66.75,417,-0.8241998553276062,0.885236918926239,3060,0.00013219199999999997,-0.477169394493103
3079,-6.504420280456543,11327,0.07496960000000003,0.012146584689617157,4730880,65.64,417,-0.8186637759208679,0.8508157134056091,3080,0.00013109485714285713,-0.44788825511932373
3099,-5.701267719268799,11400,0.0741577142857143,0.014320841990411282,4761600,59.62,417,-0.825218677520752,0.6529253125190735,3100,0.00012999771428571426,-0.08008086681365967
3119,-5.842041492462158,11470,0.0733458285714286,0.015064070001244545,4792320,61.95,417,-0.8236181139945984,0.8464298248291016,3120,0.00012890057142857141,-0.2712975740432739
