train/entropy_loss,time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/value_loss,train/learning_rate,time/iterations,train/policy_loss,train/explained_variance
-0.25032472610473633,3635200,466,7099,7789,403.85,1.4698666666666667,18.11712074279785,2.5078701972961426,0.0003,7100,0.03019227273762226,-2.4437904357910156e-05
-0.2653658092021942,3686400,466,7199,7897,392.29,1.4624000000000001,17.974390029907227,4.167517185211182,0.0003,7200,0.037049055099487305,-2.2530555725097656e-05
-0.26615893840789795,3737600,466,7299,8005,442.96,1.4549333333333334,18.71147918701172,2.157865524291992,0.0003,7300,-0.002844954840838909,-3.3974647521972656e-05
-0.2509174346923828,3788800,466,7399,8116,446.47,1.4474666666666667,18.17657470703125,1.4671781063079834,0.0003,7400,0.0015923334285616875,-2.777576446533203e-05
-0.2478780448436737,3840000,466,7499,8224,424.42,1.44,18.7907772064209,3.8427767753601074,0.0003,7500,0.05081409215927124,2.2649765014648438e-05
-0.2909628450870514,3891200,466,7599,8334,431.17,1.4325333333333332,18.8649959564209,3.086273193359375,0.0003,7600,-0.005405922420322895,-8.428096771240234e-05
-0.2610403597354889,3942400,466,7699,8444,349.3,1.4250666666666667,16.978506088256836,7.018619537353516,0.0003,7700,0.040789894759655,-2.467632293701172e-05
-0.25677287578582764,3993600,466,7799,8553,405.45,1.4176,18.165163040161133,5.576766014099121,0.0003,7800,0.032454799860715866,-4.494190216064453e-05
-0.2575207054615021,4044800,466,7899,8664,365.78,1.4101333333333335,17.132112503051758,3.953625440597534,0.0003,7900,0.026087360456585884,3.993511199951172e-06
-0.2585647702217102,4096000,466,7999,8773,420.79,1.4026666666666667,18.841596603393555,3.0457499027252197,0.0003,8000,0.0362410731613636,-4.1604042053222656e-05
-0.2801765203475952,4147200,466,8099,8882,378.2,1.3952,17.2969970703125,4.401805400848389,0.0003,8100,0.041695646941661835,2.485513687133789e-05
-0.27558737993240356,4198400,466,8199,8992,383.44,1.3877333333333333,17.24522590637207,2.554656982421875,0.0003,8200,0.0008416003547608852,-3.4809112548828125e-05
-0.26729440689086914,4249600,466,8299,9100,388.41,1.3802666666666665,17.718626022338867,5.09996223449707,0.0003,8300,0.033385951071977615,1.8894672393798828e-05
-0.2639835476875305,4300800,466,8399,9209,448.49,1.3728,19.433441162109375,3.4135265350341797,0.0003,8400,0.027317378669977188,-3.147125244140625e-05
