train/n_updates,time/total_timesteps,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,time/time_elapsed,train/policy_loss,rollout/ep_len_mean,time/fps,train/explained_variance,time/iterations,train/learning_rate
8399,2150400,-0.1688932478427887,1.5992249250411987,2.1808390617370605,5892,-0.027555974200367928,29.9,364,0.00023740530014038086,8400,0.0002
8499,2176000,-0.15222960710525513,1.7851628065109253,2.1718297004699707,5965,-0.04866427928209305,32.12,364,0.0011731982231140137,8500,0.0002
8599,2201600,-0.16022762656211853,1.0524640083312988,2.935027837753296,6034,-0.02805813029408455,43.4,364,0.001379847526550293,8600,0.0002
8699,2227200,-0.14780306816101074,1.2044007778167725,2.054093599319458,6102,-0.04752261936664581,29.08,364,0.0010147690773010254,8700,0.0002
8799,2252800,-0.15570199489593506,3.473968505859375,2.841477632522583,6173,-0.00537519296631217,43.29,364,-0.00017070770263671875,8800,0.0002
8899,2278400,-0.1572273075580597,0.7754669189453125,2.7690136432647705,6240,-0.0029960311949253082,56.39,365,0.0018739104270935059,8900,0.0002
8999,2304000,-0.18695977330207825,3.60270357131958,2.213383674621582,6311,-0.03248221427202225,20.11,365,-0.0008302927017211914,9000,0.0002
9099,2329600,-0.18182367086410522,13.945446014404297,2.1406450271606445,6380,0.06421475112438202,18.83,365,0.0001666545867919922,9100,0.0002
9199,2355200,-0.16591091454029083,12.285526275634766,2.27336049079895,6448,0.05643554404377937,42.74,365,-0.0001798868179321289,9200,0.0002
9299,2380800,-0.14732389152050018,12.575508117675781,2.4110164642333984,6516,0.03008405864238739,31.18,365,0.0004959702491760254,9300,0.0002
9399,2406400,-0.16733244061470032,1.8322625160217285,1.9642996788024902,6583,-0.02491646632552147,17.95,365,0.0019086003303527832,9400,0.0002
9499,2432000,-0.150953471660614,1.5811474323272705,3.026615858078003,6651,0.02714352309703827,64.2,365,0.0009350776672363281,9500,0.0002
9599,2457600,-0.16466277837753296,3.4603610038757324,3.1643476486206055,6724,-0.010712746530771255,52.61,365,0.00026160478591918945,9600,0.0002
9699,2483200,-0.17165233194828033,3.028384208679199,2.074082374572754,6795,0.016016360372304916,31.69,365,0.0012567639350891113,9700,0.0002
9799,2508800,-0.15678569674491882,2.4740188121795654,2.536952495574951,6864,-0.03632422909140587,43.3,365,0.00035762786865234375,9800,0.0002
9899,2534400,-0.1802653968334198,1.2728549242019653,2.0129904747009277,6933,-0.04326333478093147,29.56,365,-3.802776336669922e-05,9900,0.0002
9999,2560000,-0.1644982099533081,3.0074081420898438,2.1248598098754883,7005,-0.026295725256204605,32.73,365,0.0007594823837280273,10000,0.0002
10099,2585600,-0.16015660762786865,1.921804666519165,2.084796667098999,7076,-0.010369683615863323,20.48,365,0.0018628835678100586,10100,0.0002
10199,2611200,-0.16703665256500244,2.4233264923095703,2.065495491027832,7144,-0.01474134810268879,31.11,365,0.0005353689193725586,10200,0.0002
10299,2636800,-0.1819826364517212,1.3256683349609375,2.137228012084961,7214,0.011446984484791756,21.53,365,0.0011621713638305664,10300,0.0002
10399,2662400,-0.1626504510641098,3.6069295406341553,2.1380088329315186,7282,0.019250979647040367,31.83,365,0.00109022855758667,10400,0.0002
10499,2688000,-0.17169633507728577,2.0549354553222656,2.642552137374878,7352,-0.007845215499401093,30.96,365,0.0008476972579956055,10500,0.0002
10599,2713600,-0.16641780734062195,2.5862627029418945,2.0840773582458496,7423,-0.06655559688806534,19.12,365,0.000705718994140625,10600,0.0002
10699,2739200,-0.17686259746551514,3.784064769744873,2.122619867324829,7494,0.011191044002771378,43.51,365,3.88026237487793e-05,10700,0.0002
10799,2764800,-0.16365011036396027,2.9240915775299072,2.6833765506744385,7563,-0.1622115671634674,41.9,365,1.9311904907226562e-05,10800,0.0002
10899,2790400,-0.17352676391601562,1.8466495275497437,2.2289071083068848,7633,-0.026548730209469795,43.31,365,0.001178443431854248,10900,0.0002
10999,2816000,-0.16653990745544434,3.1113510131835938,1.9680557250976562,7701,-0.023917101323604584,17.92,365,0.0006658434867858887,11000,0.0002
11099,2841600,-0.16460609436035156,15.866074562072754,2.5971503257751465,7773,-0.02095090039074421,43.77,365,-0.00018656253814697266,11100,0.0002
11199,2867200,-0.1791415810585022,2.2094364166259766,2.0287792682647705,7843,-0.025357484817504883,20.88,365,0.00041979551315307617,11200,0.0002
11299,2892800,-0.1769825518131256,4.118243217468262,2.609215021133423,7912,-0.0201248899102211,31.85,365,6.854534149169922e-06,11300,0.0002
11399,2918400,-0.16956499218940735,2.080026149749756,2.033860921859741,7980,0.004776891320943832,20.32,365,0.0007845163345336914,11400,0.0002
11499,2944000,-0.16406477987766266,17.924236297607422,2.450577735900879,8050,0.012321526184678078,32.11,365,0.0001016855239868164,11500,0.0002
11599,2969600,-0.1381261795759201,1.0468626022338867,2.385009527206421,8121,-0.013560100458562374,30.36,365,-0.0009255409240722656,11600,0.0002
11699,2995200,-0.17804940044879913,2.734356164932251,2.6214406490325928,8193,-0.01680220291018486,42.4,365,0.00039649009704589844,11700,0.0002
