train/learning_rate,train/explained_variance,train/ent_coef,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/policy_loss,train/entropy_loss,time/total_timesteps,time/iterations,train/value_loss
0.0003,-0.000232696533203125,1.1786666666666665,441,12769,93.13,10999,6.974841117858887,0.048952970653772354,-0.28515350818634033,5632000,11000,1.6202374696731567
0.0003,-7.867813110351562e-06,1.1712,441,12886,192.29,11099,11.956543922424316,0.07923658937215805,-0.2845088839530945,5683200,11100,3.2766711711883545
0.0003,-3.3736228942871094e-05,1.1637333333333333,441,13002,215.87,11199,12.94590950012207,0.03450005501508713,-0.23238879442214966,5734400,11200,3.839104652404785
0.0003,-3.814697265625e-05,1.1562666666666668,441,13117,181.57,11299,11.750946044921875,0.08405251801013947,-0.26007282733917236,5785600,11300,3.547389030456543
0.0003,-8.940696716308594e-05,1.1488,441,13233,250.93,11399,14.624292373657227,0.001145639456808567,-0.2542509436607361,5836800,11400,3.7598981857299805
0.0003,-0.0001513957977294922,1.1413333333333333,441,13350,211.95,11499,13.024526596069336,0.032565172761678696,-0.29528453946113586,5888000,11500,3.6735410690307617
0.0003,-0.0002052783966064453,1.1338666666666666,441,13467,141.37,11599,8.871735572814941,-0.0003611873835325241,-0.2539244294166565,5939200,11600,1.7382264137268066
0.0003,-0.00017130374908447266,1.1264,441,13582,172.41,11699,10.72637939453125,0.044989828020334244,-0.26509252190589905,5990400,11700,4.495206356048584
0.0003,4.172325134277344e-06,1.1189333333333336,441,13698,149.18,11799,10.330578804016113,0.06237660348415375,-0.27911293506622314,6041600,11800,5.0854878425598145
0.0003,-8.153915405273438e-05,1.1114666666666666,441,13814,246.08,11899,13.934577941894531,0.04526471719145775,-0.27733299136161804,6092800,11900,1.4270435571670532
0.0003,-6.401538848876953e-05,1.104,441,13930,186.1,11999,10.563589096069336,0.02329617366194725,-0.25499632954597473,6144000,12000,2.132995367050171
0.0003,-4.696846008300781e-05,1.0965333333333334,440,14049,183.2,12099,11.300924301147461,0.03454969823360443,-0.2883501350879669,6195200,12100,4.336917877197266
0.0003,-0.0001556873321533203,1.0890666666666666,440,14166,157.0,12199,10.496219635009766,-0.0074203177355229855,-0.27386659383773804,6246400,12200,5.6602373123168945
0.0003,-6.115436553955078e-05,1.0816,440,14282,193.13,12299,11.797440528869629,0.05873506888747215,-0.2897348701953888,6297600,12300,5.129171371459961
0.0003,4.9591064453125e-05,1.0741333333333332,440,14400,104.19,12399,7.40560245513916,0.031665537506341934,-0.2569112479686737,6348800,12400,4.462137222290039
0.0003,-5.53131103515625e-05,1.0666666666666667,440,14515,274.12,12499,15.563132286071777,0.021171271800994873,-0.2554541230201721,6400000,12500,4.32985782623291
0.0003,-7.414817810058594e-05,1.0592000000000001,440,14632,241.5,12599,13.845964431762695,0.043625518679618835,-0.2534463107585907,6451200,12600,2.575727939605713
0.0003,-6.413459777832031e-05,1.0517333333333332,440,14750,157.62,12699,9.524452209472656,0.09195317327976227,-0.24254846572875977,6502400,12700,8.006258964538574
0.0003,-0.00010204315185546875,1.0442666666666667,440,14866,158.3,12799,9.438621520996094,0.05842011421918869,-0.2718780040740967,6553600,12800,3.5003061294555664
0.0003,-3.0994415283203125e-06,1.0368,440,14982,167.46,12899,10.776845932006836,0.04636317491531372,-0.2654899060726166,6604800,12900,6.5109453201293945
0.0003,-6.246566772460938e-05,1.0293333333333334,440,15098,223.87,12999,12.724370002746582,0.008884355425834656,-0.27596765756607056,6656000,13000,6.7940673828125
0.0003,-2.0623207092285156e-05,1.0218666666666667,440,15214,132.34,13099,8.420398712158203,0.053194597363471985,-0.2757934033870697,6707200,13100,4.827950477600098
0.0003,-9.715557098388672e-05,1.0144,440,15330,178.05,13199,10.501516342163086,0.014704498462378979,-0.28837376832962036,6758400,13200,4.314714431762695
0.0003,-7.808208465576172e-05,1.0069333333333335,440,15447,178.09,13299,10.772869110107422,0.04113547131419182,-0.2801157832145691,6809600,13300,5.714404582977295
0.0003,2.4557113647460938e-05,0.9994666666666667,440,15563,144.31,13399,9.326972961425781,0.03904009982943535,-0.24501550197601318,6860800,13400,6.259644508361816
0.0003,-6.449222564697266e-05,0.992,440,15677,170.28,13499,10.957106590270996,0.021944286301732063,-0.24698418378829956,6912000,13500,5.726409912109375
0.0003,-8.702278137207031e-05,0.9845333333333333,440,15796,128.36,13599,9.227890968322754,0.06762567907571793,-0.2797703742980957,6963200,13600,4.7659406661987305
0.0003,-0.00011909008026123047,0.9770666666666665,440,15913,200.72,13699,12.543195724487305,0.047213390469551086,-0.2536579668521881,7014400,13700,2.1020267009735107
0.0003,-0.00021326541900634766,0.9696,440,16028,175.27,13799,11.246175765991211,0.05061744153499603,-0.23707225918769836,7065600,13800,2.864682674407959
0.0003,-9.381771087646484e-05,0.9621333333333335,440,16146,157.02,13899,10.067370414733887,0.01856212317943573,-0.2537364363670349,7116800,13900,3.049107313156128
0.0003,-8.034706115722656e-05,0.9546666666666666,440,16263,130.69,13999,8.481971740722656,0.07051734626293182,-0.2594148516654968,7168000,14000,5.558019638061523
0.0003,-2.872943878173828e-05,0.9472,440,16377,145.69,14099,9.086319923400879,0.038945864886045456,-0.28204062581062317,7219200,14100,3.649017333984375
0.0003,-4.3511390686035156e-05,0.9397333333333333,440,16493,144.24,14199,8.672287940979004,0.02270609885454178,-0.24900788068771362,7270400,14200,3.012648105621338
