train/n_updates,train/entropy_loss,time/fps,train/policy_loss,train/learning_rate,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,train/explained_variance,rollout/ep_rew_mean,train/value_loss,time/iterations,time/time_elapsed
2249,-0.42768511176109314,237,0.010812465101480484,0.00012727679999999998,0.021320000000000006,70.02,1728000,-0.030440688133239746,-0.14864438772201538,0.6750094294548035,2250,7260
2279,-0.41709375381469727,239,0.03764182701706886,0.0001249728,0.019937600000000014,62.62,1751040,0.06740397214889526,-0.06300950795412064,0.5970882773399353,2280,7316
2309,-0.4566132724285126,240,-0.007535985670983791,0.00012266880000000001,0.018555199999999994,63.29,1774080,-0.0022078752517700195,-0.12858611345291138,0.5740247964859009,2310,7372
2339,-0.4236958622932434,241,0.03256750851869583,0.0001203648,0.017172800000000002,62.76,1797120,0.07359248399734497,-0.1898106336593628,0.8128523230552673,2340,7429
2369,-0.4577781558036804,243,0.012228528968989849,0.00011806080000000002,0.01579040000000001,70.91,1820160,-0.07661783695220947,-0.22302602231502533,0.7635723948478699,2370,7484
2399,-0.45047637820243835,244,0.008293695747852325,0.0001157568,0.014408000000000004,61.37,1843200,-0.09235262870788574,-0.12571291625499725,0.8362390398979187,2400,7539
2429,-0.4308609962463379,245,0.024627551436424255,0.0001134528,0.013025600000000012,68.18,1866240,0.11891371011734009,-0.08143873512744904,0.5115474462509155,2430,7595
2459,-0.42678385972976685,246,0.01946686953306198,0.0001111488,0.011643200000000006,63.13,1889280,0.044519007205963135,-0.348297655582428,0.5211933851242065,2460,7650
2489,-0.4174365699291229,248,0.017458509653806686,0.0001088448,0.0102608,64.32,1912320,-0.07992291450500488,-0.11177535355091095,0.6652316451072693,2490,7705
2519,-0.4366406798362732,249,0.038337260484695435,0.0001065408,0.008878400000000009,64.16,1935360,-0.0835345983505249,-0.29825443029403687,0.6775941848754883,2520,7762
2549,-0.42331621050834656,250,0.01666424237191677,0.0001042368,0.007496000000000003,51.51,1958400,0.04942929744720459,-0.20950332283973694,0.6711525321006775,2550,7817
2579,-0.4383159875869751,251,0.03425215929746628,0.0001019328,0.006113599999999997,63.18,1981440,0.08623206615447998,-0.30411309003829956,0.4871460795402527,2580,7872
