train/value_loss,time/time_elapsed,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/policy_loss,rollout/ep_len_mean,train/learning_rate,train/ent_coef,train/explained_variance
0.45362424850463867,3687,-0.5950751304626465,1474560,-13.264457702636719,399,960,959,0.07274623960256577,70.42,0.00022634880000000002,0.13180160000000002,0.3938540816307068
0.5138763189315796,3765,-0.5772761702537537,1505280,-12.960362434387207,399,980,979,0.03823433816432953,69.57,0.00022481279999999996,0.13038080000000002,0.5225192904472351
0.4904724061489105,3844,-0.5748093724250793,1536000,-9.447259902954102,399,1000,999,0.0316980816423893,49.41,0.0002232768,0.12896000000000002,0.3869932293891907
0.43973633646965027,3924,-0.6080281734466553,1566720,-17.565597534179688,399,1020,1019,0.06563090533018112,95.63,0.0002217408,0.12753920000000002,0.5167309939861298
0.4882325828075409,4002,-0.5932482481002808,1597440,-14.43609619140625,399,1040,1039,0.03240427374839783,76.18,0.0002202048,0.12611840000000002,0.6210082173347473
0.4895040988922119,4080,-0.5905399918556213,1628160,-13.62851333618164,399,1060,1059,0.03717580437660217,73.67,0.0002186688,0.1246976,0.544491320848465
0.5425679683685303,4160,-0.5948433876037598,1658880,-16.24468994140625,398,1080,1079,0.08529909700155258,86.2,0.00021713279999999998,0.12327680000000002,0.4789237976074219
0.5107183456420898,4238,-0.5742972493171692,1689600,-12.273082733154297,398,1100,1099,0.047215528786182404,65.83,0.0002155968,0.121856,0.4350113868713379
0.43106532096862793,4318,-0.5975319743156433,1720320,-12.402718544006348,398,1120,1119,0.05366011708974838,66.43,0.00021406079999999997,0.1204352,0.6238071322441101
0.4514946937561035,4397,-0.5812739133834839,1751040,-15.247193336486816,398,1140,1139,0.03621353954076767,80.03,0.00021252480000000002,0.11901440000000002,0.3644986152648926
0.4686497449874878,4476,-0.5831949710845947,1781760,-10.924047470092773,398,1160,1159,0.06242433935403824,59.26,0.0002109888,0.1175936,0.32205289602279663
0.472406804561615,4556,-0.5764064788818359,1812480,-10.152336120605469,397,1180,1179,0.06235864385962486,54.13,0.0002094528,0.1161728,0.41728901863098145
0.5497615337371826,4634,-0.5890284180641174,1843200,-13.856708526611328,397,1200,1199,0.026185719296336174,73.58,0.0002079168,0.11475200000000002,0.32515060901641846
0.49840590357780457,4712,-0.583514392375946,1873920,-12.016895294189453,397,1220,1219,0.05680403113365173,62.94,0.0002063808,0.1133312,0.4865727424621582
0.5088104009628296,4790,-0.5749839544296265,1904640,-12.84664535522461,397,1240,1239,0.04521261900663376,67.86,0.00020484479999999998,0.11191040000000001,0.5403595864772797
0.513942301273346,4872,-0.5849984884262085,1935360,-12.989083290100098,397,1260,1259,0.06535723805427551,70.08,0.0002033088,0.11048960000000001,0.4884156584739685
0.45007503032684326,4952,-0.5788249969482422,1966080,-12.59155559539795,397,1280,1279,0.06011858582496643,66.81,0.0002017728,0.10906880000000001,0.31410568952560425
0.5396400690078735,5032,-0.5811017155647278,1996800,-9.087479591369629,396,1300,1299,0.021594081073999405,48.52,0.00020023680000000001,0.10764800000000002,0.3205834627151489
0.528372049331665,5110,-0.5779489874839783,2027520,-11.868217468261719,396,1320,1319,0.046477608382701874,63.22,0.0001987008,0.10622720000000001,0.15522265434265137
0.491487979888916,5182,-0.5775505304336548,2058240,-10.29308795928955,397,1340,1339,0.07808208465576172,53.43,0.0001971648,0.10480640000000001,0.12234926223754883
0.41669678688049316,5261,-0.5863219499588013,2088960,-14.92881965637207,397,1360,1359,0.014122280292212963,81.02,0.0001956288,0.10338560000000001,0.467338502407074
0.5684149265289307,5336,-0.5932430624961853,2119680,-11.232203483581543,397,1380,1379,0.03264337033033371,58.97,0.00019409279999999999,0.10196480000000002,0.6083805859088898
