rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/ent_coef,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/policy_loss,train/entropy_loss
129.88,902,317,-3.8699951171875,70,286720,0.3408704,7.17376e-05,69,0.38234227895736694,-0.1312342882156372,0.007840929552912712,-0.6605583429336548
131.4,915,317,-3.6574926376342773,71,290816,0.33859712,7.132799999999999e-05,70,0.3568607270717621,-0.1844559907913208,0.0142868272960186,-0.6613631248474121
136.14,928,317,-3.8492536544799805,72,294912,0.33632384,7.09184e-05,71,0.34681767225265503,-0.15388405323028564,0.015116637572646141,-0.6622457504272461
138.11,941,317,-3.840585231781006,73,299008,0.33405056,7.050880000000001e-05,72,0.332778662443161,-0.19821512699127197,0.016735609620809555,-0.6609784960746765
131.97,953,317,-3.6556015014648438,74,303104,0.33177728,7.009920000000001e-05,73,0.3719634413719177,-0.10699403285980225,0.026308558881282806,-0.661199688911438
126.66,966,317,-3.3971309661865234,75,307200,0.329504,6.96896e-05,74,0.3020995259284973,-0.1778120994567871,0.01061814371496439,-0.6610040664672852
124.31,979,317,-3.4572677612304688,76,311296,0.32723072,6.928000000000001e-05,75,0.3956286311149597,-0.05057811737060547,0.009055299684405327,-0.6629453897476196
118.15,992,317,-3.2897679805755615,77,315392,0.32495744,6.887040000000001e-05,76,0.3629300892353058,-0.10257327556610107,0.00978829525411129,-0.6610740423202515
126.9,1004,317,-3.7064623832702637,78,319488,0.32268416,6.846080000000001e-05,77,0.3999876379966736,-0.1302887201309204,0.018177349120378494,-0.6611415147781372
128.3,1017,317,-3.4450552463531494,79,323584,0.32041087999999995,6.80512e-05,78,0.3489915132522583,-0.1380692720413208,0.015093623660504818,-0.6606343984603882
127.97,1030,317,-3.374314308166504,80,327680,0.3181376,6.764160000000001e-05,79,0.3675750494003296,-0.19975614547729492,0.009110870771110058,-0.6615324020385742
128.19,1043,317,-3.3777172565460205,81,331776,0.31586432,6.723200000000001e-05,80,0.39107346534729004,-0.15670979022979736,0.017745351418852806,-0.6614749431610107
123.28,1056,317,-3.3539416790008545,82,335872,0.31359104000000004,6.682239999999999e-05,81,0.36974194645881653,-0.19516634941101074,0.019726179540157318,-0.6594380140304565
131.18,1069,317,-3.701521873474121,83,339968,0.31131776,6.641280000000002e-05,82,0.35168346762657166,-0.17577052116394043,0.0172383114695549,-0.6597148776054382
129.27,1081,318,-3.8178796768188477,84,344064,0.30904448,6.600320000000001e-05,83,0.37740540504455566,-0.1712402105331421,0.011627204716205597,-0.6604654788970947
129.32,1094,318,-3.6954410076141357,85,348160,0.3067712,6.559360000000001e-05,84,0.35098379850387573,-0.0523991584777832,0.020136259496212006,-0.6606783866882324
123.02,1107,318,-3.314845561981201,86,352256,0.30449792,6.5184e-05,85,0.3660861849784851,-0.061380982398986816,0.012392817065119743,-0.662102222442627
126.73,1120,318,-3.4683737754821777,87,356352,0.30222464,6.477440000000001e-05,86,0.39672747254371643,-0.2596321105957031,0.022532399743795395,-0.661119818687439
126.86,1133,318,-3.5864007472991943,88,360448,0.29995136,6.436480000000001e-05,87,0.3775203227996826,-0.08897697925567627,0.01622675731778145,-0.660071074962616
134.55,1146,317,-3.7149221897125244,89,364544,0.29767807999999996,6.39552e-05,88,0.3318430781364441,-0.22821390628814697,0.015431261621415615,-0.6604260802268982
129.47,1160,317,-3.5389273166656494,90,368640,0.2954048,6.35456e-05,89,0.35497260093688965,-0.2687978744506836,0.008122855797410011,-0.6614091396331787
133.01,1173,317,-3.6877036094665527,91,372736,0.29313152,6.313600000000001e-05,90,0.389839768409729,-0.18231284618377686,0.014259862713515759,-0.6614044904708862
129.5,1186,317,-3.773419141769409,92,376832,0.29085824000000005,6.272640000000001e-05,91,0.32743245363235474,-0.1185600757598877,0.01684134267270565,-0.6613633632659912
123.83,1199,317,-3.7870490550994873,93,380928,0.28858496,6.23168e-05,92,0.3267711400985718,-0.08875596523284912,0.010482875630259514,-0.6625720262527466
120.42,1211,317,-3.470311164855957,94,385024,0.28631168,6.190720000000002e-05,93,0.3795110583305359,-0.03403961658477783,0.015626590698957443,-0.6629019975662231
114.98,1224,317,-3.203024387359619,95,389120,0.2840384,6.149760000000001e-05,94,0.3620849549770355,-0.1927502155303955,0.011367462575435638,-0.6632871627807617
121.32,1237,317,-3.246169328689575,96,393216,0.28176512,6.1088e-05,95,0.3356485962867737,-0.18237555027008057,0.013179617933928967,-0.6600039601325989
122.58,1250,317,-3.1806609630584717,97,397312,0.27949184,6.0678400000000005e-05,96,0.39948493242263794,-0.28007733821868896,0.008974914439022541,-0.662976861000061
127.1,1263,317,-3.3474156856536865,98,401408,0.27721856,6.026880000000001e-05,97,0.36196863651275635,-0.14654266834259033,0.018984949216246605,-0.6619144678115845
126.61,1276,317,-3.310481309890747,99,405504,0.27494527999999996,5.9859200000000004e-05,98,0.39660584926605225,-0.04095935821533203,0.014633153565227985,-0.6607029438018799
125.08,1288,317,-3.2510793209075928,100,409600,0.272672,5.9449599999999994e-05,99,0.3480333685874939,-0.23637330532073975,0.01013050228357315,-0.6614067554473877
