time/fps,train/learning_rate,train/policy_loss,train/explained_variance,time/time_elapsed,train/ent_coef,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,time/iterations,train/n_updates,train/entropy_loss,rollout/ep_len_mean
217,0.000157942272,-0.07009853422641754,0.888964407145977,5733,0.190231168,5.11014461517334,0.15931308269500732,1245184,152,151,-0.504583477973938,97.46
217,0.00015682816,-0.08562227338552475,0.883307695388794,5865,0.188658304,5.04912805557251,0.140315979719162,1277952,156,155,-0.49915146827697754,94.95
218,0.00015571404800000002,-0.10429548472166061,0.8782057166099548,5994,0.18708544,5.024101734161377,0.12256486713886261,1310720,160,159,-0.5081160068511963,105.65
219,0.000154599936,-0.09316990524530411,0.8858651593327522,6125,0.185512576,5.223902702331543,0.15529672801494598,1343488,164,163,-0.5044374465942383,94.63
219,0.000153485824,-0.08595757931470871,0.9047722294926643,6257,0.183939712,5.121182441711426,0.13290418684482574,1376256,168,167,-0.4961791932582855,96.76
220,0.00015237171200000002,-0.08863431215286255,0.8896064013242722,6385,0.182366848,5.2583465576171875,0.13515028357505798,1409024,172,171,-0.48118889331817627,89.97
221,0.0001512576,-0.08840364962816238,0.8922712728381157,6516,0.18079398400000002,5.100745677947998,0.13530473411083221,1441792,176,175,-0.48620477318763733,100.67
221,0.00015014348800000002,-0.0867592990398407,0.9084053784608841,6647,0.17922112,5.3984785079956055,0.11908869445323944,1474560,180,179,-0.48868539929389954,105.02
222,0.00014902937600000003,-0.0935705304145813,0.892430804669857,6773,0.177648256,5.3609089851379395,0.13274796307086945,1507328,184,183,-0.47552961111068726,91.71
223,0.000147915264,-0.0953543558716774,0.9097994640469551,6903,0.176075392,5.453521728515625,0.09700648486614227,1540096,188,187,-0.47970202565193176,100.15
223,0.000146801152,-0.08720846474170685,0.9165609031915665,7030,0.174502528,5.73051643371582,0.10297738015651703,1572864,192,191,-0.46210619807243347,91.66
224,0.00014568704,-0.09900736063718796,0.9255668073892593,7158,0.172929664,5.690101146697998,0.09059624373912811,1605632,196,195,-0.4550556540489197,96.0
224,0.00014457292800000002,-0.1044120192527771,0.9195695742964745,7294,0.17135679999999998,5.737335205078125,0.09158673137426376,1638400,200,199,-0.4505794048309326,90.97
225,0.00014345881600000003,-0.09505856037139893,0.9103408381342888,7419,0.169783936,5.82331657409668,0.12270788848400116,1671168,204,203,-0.45813941955566406,93.97
225,0.000142344704,-0.09610442072153091,0.8998181819915771,7549,0.16821107200000002,5.7873382568359375,0.12286008894443512,1703936,208,207,-0.45083242654800415,102.0
226,0.00014123059200000002,-0.09125655889511108,0.9025112241506577,7682,0.166638208,5.7457451820373535,0.11076180636882782,1736704,212,211,-0.44317543506622314,99.37
226,0.00014011648,-0.09525486826896667,0.9325282499194145,7795,0.165065344,5.932658672332764,0.07290689647197723,1769472,216,215,-0.429874062538147,92.33
227,0.000139002368,-0.09245553612709045,0.9404266364872456,7906,0.16349248,5.963023662567139,0.07966822385787964,1802240,220,219,-0.4420700669288635,101.56
