train/value_loss,train/ent_coef,train/entropy_loss,rollout/ep_len_mean,train/policy_loss,train/explained_variance,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,time/iterations
0.14533266425132751,0.18563272533333333,-0.5009360909461975,98.06,-0.08296521008014679,0.8574603646993637,323,2326528,5.718709945678711,7182,0.00015363328000000002,283,284
0.15541929006576538,0.184726144,-0.48413974046707153,100.02,-0.07195304334163666,0.8609444499015808,323,2359296,5.6454291343688965,7282,0.00015297792,287,288
0.114008828997612,0.18381956266666666,-0.48611223697662354,98.39,-0.07536785304546356,0.8901025354862213,324,2392064,5.749551773071289,7380,0.00015232256000000002,291,292
0.1439516246318817,0.18291298133333334,-0.4877523183822632,99.99,-0.07603022456169128,0.8603616505861282,324,2424832,5.712131977081299,7481,0.00015166719999999998,295,296
0.14172008633613586,0.1820064,-0.4846174716949463,101.27,-0.07549478113651276,0.8596305698156357,324,2457600,5.978570461273193,7583,0.00015101184,299,300
0.12218332290649414,0.1810998186666667,-0.4849710464477539,107.37,-0.08713418245315552,0.8794562295079231,324,2490368,5.646503448486328,7681,0.00015035648000000001,303,304
0.12794986367225647,0.1801932373333333,-0.4910082519054413,105.42,-0.06717047095298767,0.8821870014071465,324,2523136,5.893138408660889,7782,0.00014970112,307,308
0.11437376588582993,0.179286656,-0.47510194778442383,99.57,-0.08211974799633026,0.888765849173069,324,2555904,6.236053943634033,7884,0.00014904576000000002,311,312
0.12354742735624313,0.17838007466666667,-0.4762568473815918,98.79,-0.08053256571292877,0.8861856833100319,324,2588672,6.1471638679504395,7982,0.0001483904,315,316
0.16460154950618744,0.17747349333333334,-0.47420239448547363,96.85,-0.0693974494934082,0.8608533293008804,324,2621440,5.903316020965576,8081,0.00014773504,319,320
0.11157499253749847,0.176566912,-0.4783059358596802,98.15,-0.08249721676111221,0.8939843699336052,324,2654208,6.385635852813721,8180,0.00014707968,323,324
0.1566440761089325,0.17566033066666667,-0.45615261793136597,89.08,-0.07386571168899536,0.8612478524446487,324,2686976,5.808712959289551,8283,0.00014642432,327,328
0.12196297943592072,0.17475374933333332,-0.45940306782722473,97.14,-0.08506383001804352,0.8873579576611519,324,2719744,6.12917947769165,8382,0.00014576896000000002,331,332
0.13568365573883057,0.173847168,-0.4784235954284668,103.5,-0.07507823407649994,0.8694601356983185,324,2752512,6.087727069854736,8483,0.0001451136,335,336
0.12338735908269882,0.17294058666666667,-0.4898948073387146,101.26,-0.07775680720806122,0.8818111047148705,324,2785280,5.507152080535889,8586,0.00014445824,339,340
0.12834493815898895,0.17203400533333335,-0.4772486090660095,98.2,-0.08560146391391754,0.8776012137532234,324,2818048,6.248714447021484,8687,0.00014380288,343,344
0.10831627249717712,0.171127424,-0.45489418506622314,104.02,-0.09036366641521454,0.8935061916708946,324,2850816,6.4141011238098145,8788,0.00014314752,347,348
0.11226321756839752,0.17022084266666668,-0.4339168667793274,97.89,-0.07258903980255127,0.9036085978150368,324,2883584,6.363723278045654,8890,0.00014249216000000002,351,352
0.11758188903331757,0.16931426133333333,-0.44418951869010925,96.42,-0.06849230825901031,0.8977023959159851,324,2916352,6.330898284912109,8993,0.0001418368,355,356
0.12392450124025345,0.16840768,-0.4609323740005493,95.77,-0.07271777093410492,0.8761916533112526,324,2949120,6.227177143096924,9091,0.00014118144,359,360
0.12915080785751343,0.16750109866666668,-0.46379226446151733,92.18,-0.0892699658870697,0.8751620128750801,324,2981888,6.217465877532959,9191,0.00014052608,363,364
0.11280757188796997,0.16659451733333333,-0.4595951735973358,108.29,-0.07622458040714264,0.8836232423782349,324,3014656,6.146021842956543,9290,0.00013987072000000002,367,368
0.10336960852146149,0.165687936,-0.45677220821380615,98.63,-0.08436630666255951,0.9019405320286751,324,3047424,6.277528762817383,9395,0.00013921536,371,372
0.1244811937212944,0.16478135466666666,-0.4492725729942322,98.56,-0.07395247370004654,0.888375960290432,324,3080192,6.663857936859131,9494,0.00013856000000000003,375,376
0.11713172495365143,0.16387477333333333,-0.45416736602783203,101.1,-0.09755206108093262,0.8800187036395073,324,3112960,6.67420768737793,9597,0.00013790464,379,380
0.08829213678836823,0.162968192,-0.45960983633995056,103.13,-0.07634341716766357,0.9207402467727661,324,3145728,6.4867658615112305,9700,0.00013724928,383,384
0.11098535358905792,0.1620616106666667,-0.444002240896225,95.23,-0.06483489274978638,0.9156314060091972,324,3178496,6.586485385894775,9798,0.00013659392000000002,387,388
0.12712368369102478,0.1611550293333333,-0.4405038356781006,103.62,-0.08721339702606201,0.8895251825451851,324,3211264,6.656699180603027,9896,0.00013593856,391,392
0.11658134311437607,0.160248448,-0.4450763463973999,96.54,-0.08411836624145508,0.8955669403076172,324,3244032,6.496348857879639,9996,0.00013528320000000003,395,396
0.10515955835580826,0.15934186666666666,-0.4596511125564575,107.31,-0.0799003317952156,0.9017530456185341,324,3276800,6.4775614738464355,10099,0.00013462784000000002,399,400
0.12228791415691376,0.15843528533333334,-0.4351601004600525,90.4,-0.07412729412317276,0.8930832892656326,324,3309568,6.92551326751709,10197,0.00013397248,403,404
