time/fps,train/policy_loss,train/value_loss,train/learning_rate,time/total_timesteps,train/n_updates,train/ent_coef,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/explained_variance
235,-0.036295101046562195,0.24932345747947693,0.00016936192000000002,458752,55,0.205959808,56,87.61,4.418137073516846,1944,-0.2995413541793823,0.8415013700723648
235,-0.030876366421580315,0.29458367824554443,0.000168247808,475136,57,0.20438694400000001,58,90.23,4.428007125854492,2014,-0.2925400137901306,0.8170553892850876
236,-0.03578861802816391,0.20381298661231995,0.000167133696,491520,59,0.20281408,60,89.74,4.498647689819336,2081,-0.29997017979621887,0.8675519675016403
236,-0.0488637313246727,0.22586430609226227,0.00016601958400000002,507904,61,0.201241216,62,92.9,4.703819751739502,2149,-0.2956455945968628,0.8545002341270447
237,-0.04381633177399635,0.17750592529773712,0.000164905472,524288,63,0.199668352,64,98.9,4.883612155914307,2211,-0.3052181005477905,0.8616083264350891
238,-0.042585380375385284,0.20914676785469055,0.00016379136000000002,540672,65,0.198095488,66,96.18,4.8661580085754395,2265,-0.2938159704208374,0.8461254835128784
239,-0.03920649737119675,0.27901822328567505,0.000162677248,557056,67,0.196522624,68,88.29,5.04355001449585,2321,-0.291584849357605,0.8071082681417465
241,-0.04301721602678299,0.21541711688041687,0.000161563136,573440,69,0.19494976,70,92.79,4.682726860046387,2372,-0.29303932189941406,0.8469117879867554
243,-0.03678871691226959,0.1861545294523239,0.00016044902400000002,589824,71,0.19337689600000002,72,81.38,4.380918502807617,2424,-0.2865474224090576,0.8647896200418472
244,-0.04312679171562195,0.19006067514419556,0.000159334912,606208,73,0.191804032,74,86.73,4.736305236816406,2484,-0.28979769349098206,0.8666891753673553
245,-0.045252684503793716,0.18780158460140228,0.00015822080000000001,622592,75,0.190231168,76,106.79,4.9835734367370605,2539,-0.29238176345825195,0.8741590678691864
246,-0.04827561601996422,0.19434915482997894,0.000157106688,638976,77,0.188658304,78,86.27,4.788900852203369,2589,-0.2940657436847687,0.8730145543813705
247,-0.03698168694972992,0.22059720754623413,0.00015599257599999998,655360,79,0.18708544,80,98.9,4.682814121246338,2646,-0.28989747166633606,0.8456687033176422
244,-0.04377596080303192,0.20727437734603882,0.000154878464,671744,81,0.185512576,82,92.15,4.794353008270264,2743,-0.29375433921813965,0.8604574650526047
245,-0.05029948800802231,0.2431119978427887,0.000153764352,688128,83,0.183939712,84,91.24,4.882986545562744,2806,-0.2801940441131592,0.8391776531934738
246,-0.05501954257488251,0.15718212723731995,0.00015265024000000001,704512,85,0.182366848,86,109.76,5.32132625579834,2855,-0.2922167181968689,0.8819270357489586
248,-0.04639352485537529,0.22229816019535065,0.000151536128,720896,87,0.18079398400000002,88,99.23,4.976314544677734,2905,-0.29381364583969116,0.8469891399145126
247,-0.054494887590408325,0.1633211374282837,0.000150422016,737280,89,0.17922112,90,96.92,5.4108452796936035,2977,-0.2885361909866333,0.8876746073365211
244,-0.056387823075056076,0.18220660090446472,0.00014930790400000002,753664,91,0.177648256,92,98.1,5.209146499633789,3086,-0.2791285812854767,0.87726179510355
245,-0.05058911442756653,0.14656054973602295,0.000148193792,770048,93,0.176075392,94,104.38,5.464051723480225,3135,-0.2814411520957947,0.9056738615036011
247,-0.04151146113872528,0.14757046103477478,0.00014707968,786432,95,0.174502528,96,102.52,5.337503433227539,3183,-0.268937349319458,0.9005139321088791
248,-0.05261995270848274,0.17929372191429138,0.00014596556800000002,802816,97,0.172929664,98,108.4,5.226747989654541,3231,-0.27093058824539185,0.8877744674682617
249,-0.05634167790412903,0.15222036838531494,0.000144851456,819200,99,0.17135679999999998,100,107.45,5.450892925262451,3279,-0.2767534852027893,0.906061016023159
250,-0.05005764588713646,0.1353047788143158,0.000143737344,835584,101,0.169783936,102,109.38,5.422593593597412,3329,-0.26729679107666016,0.9127857014536858
252,-0.04972255229949951,0.15249191224575043,0.000142623232,851968,103,0.16821107200000002,104,105.53,5.321116924285889,3378,-0.26892992854118347,0.9030775427818298
253,-0.05917750298976898,0.11922106146812439,0.00014150912,868352,105,0.166638208,106,104.74,5.623864650726318,3427,-0.2681407928466797,0.9222472161054611
254,-0.05769505724310875,0.12006500363349915,0.00014039500800000002,884736,107,0.165065344,108,100.87,5.638533115386963,3480,-0.2685382068157196,0.9251889288425446
255,-0.05867630988359451,0.11021368205547333,0.000139280896,901120,109,0.16349248,110,99.2,5.5685343742370605,3529,-0.25998249650001526,0.9249153733253479
256,-0.05852632597088814,0.13967493176460266,0.00013816678400000002,917504,111,0.161919616,112,103.59,5.4847307205200195,3579,-0.26953622698783875,0.9107019156217575
257,-0.05127977952361107,0.12400555610656738,0.000137052672,933888,113,0.160346752,114,107.01,5.715961933135986,3630,-0.263593852519989,0.9192038550972939
258,-0.061063263565301895,0.15835189819335938,0.00013593856,950272,115,0.158773888,116,95.35,5.752251148223877,3679,-0.2640489339828491,0.9043735638260841
259,-0.056892991065979004,0.11175770312547684,0.00013482444800000002,966656,117,0.157201024,118,107.13,6.013458728790283,3728,-0.253784716129303,0.9299153983592987
260,-0.060706790536642075,0.10344599187374115,0.00013371033600000003,983040,119,0.15562816000000002,120,102.79,5.8746113777160645,3777,-0.2600286304950714,0.9336570575833321
261,-0.04278165102005005,0.15216130018234253,0.00013259622400000002,999424,121,0.154055296,122,101.54,5.702043056488037,3827,-0.2532527446746826,0.9135167077183723
261,-0.05430513620376587,0.10065722465515137,0.000131482112,1015808,123,0.152482432,124,101.77,5.706590175628662,3877,-0.26595497131347656,0.9414278268814087
262,-0.04972957819700241,0.11715831607580185,0.000130368,1032192,125,0.150909568,126,100.86,5.852042198181152,3926,-0.24427202343940735,0.9285998940467834
263,-0.05755750462412834,0.1009858250617981,0.00012925388800000002,1048576,127,0.14933670400000001,128,109.25,5.674454212188721,3977,-0.24888955056667328,0.9355073496699333
264,-0.054526131600141525,0.1284036636352539,0.000128139776,1064960,129,0.14776384,130,95.7,5.921112060546875,4027,-0.254655659198761,0.9202996715903282
265,-0.06718356907367706,0.09062725305557251,0.00012702566400000001,1081344,131,0.146190976,132,108.45,6.156888484954834,4078,-0.2604171931743622,0.9425089620053768
265,-0.055795494467020035,0.12027660012245178,0.00012591155200000002,1097728,133,0.14461811200000002,134,101.5,6.073379039764404,4128,-0.25161606073379517,0.9227194264531136
