train/n_updates,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/policy_loss,time/time_elapsed,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,train/ent_coef,time/total_timesteps,time/fps,time/iterations
12199,41.87,2.0752146244049072,0.0004,-0.008288650773465633,5507,-0.17798428237438202,4.105062484741211,0.0011900067329406738,0.7751296,2342400,425,12200
12299,41.98,0.7227495908737183,0.0004,-0.01602841168642044,5552,-0.14132997393608093,3.1455962657928467,0.0007732510566711426,0.7732864,2361600,425,12300
12399,54.07,5.550866603851318,0.0004,-0.0669885128736496,5597,-0.14259007573127747,4.7848992347717285,-0.0009571313858032227,0.7714432,2380800,425,12400
12499,19.35,6.445518493652344,0.0004,0.003225711639970541,5640,-0.1488555669784546,2.3895070552825928,-0.0004031658172607422,0.7696000000000001,2400000,425,12500
12599,42.8,2.969710111618042,0.0004,0.009085580706596375,5686,-0.17070579528808594,4.640995979309082,0.0011172294616699219,0.7677568,2419200,425,12600
12699,16.8,3.338663101196289,0.0004,0.03857319802045822,5729,-0.16246184706687927,2.2822322845458984,0.0005776882171630859,0.7659136,2438400,425,12700
12799,19.22,2.0972847938537598,0.0004,-0.0189451165497303,5774,-0.15138587355613708,2.4482290744781494,0.0002811551094055176,0.7640704,2457600,425,12800
12899,42.61,0.6280528903007507,0.0004,-0.09872905910015106,5820,-0.1403203159570694,3.460916519165039,0.0008932948112487793,0.7622272,2476800,425,12900
12999,32.08,3.2236878871917725,0.0004,0.020462311804294586,5865,-0.19072680175304413,2.808694362640381,0.0008355975151062012,0.7603840000000001,2496000,425,13000
13099,21.11,1.8786935806274414,0.0004,-0.09087090939283371,5909,-0.16945485770702362,2.5424814224243164,0.0003104209899902344,0.7585408,2515200,425,13100
13199,30.17,1.461778998374939,0.0004,0.0027271597646176815,5955,-0.13673332333564758,3.6600077152252197,0.000460207462310791,0.7566976,2534400,425,13200
13299,20.88,3.4640583992004395,0.0004,0.02319411188364029,5998,-0.17144840955734253,2.4786946773529053,-0.0004730224609375,0.7548544,2553600,425,13300
13399,43.25,1.4586238861083984,0.0004,0.009051544591784477,6044,-0.17876510322093964,3.6682326793670654,0.0007613301277160645,0.7530112,2572800,425,13400
13499,30.98,1.21645188331604,0.0004,-0.01846730336546898,6088,-0.1827380508184433,2.7602291107177734,0.0003542304039001465,0.7511680000000001,2592000,425,13500
13599,18.52,2.7054190635681152,0.0004,-0.029005497694015503,6133,-0.14541029930114746,2.3707427978515625,0.00040668249130249023,0.7493248,2611200,425,13600
13699,43.64,1.5333127975463867,0.0004,0.06210556626319885,6180,-0.152698814868927,3.70924711227417,0.0008933544158935547,0.7474816,2630400,425,13700
13799,43.31,4.049245834350586,0.0004,0.019773822277784348,6225,-0.16772353649139404,3.9530224800109863,0.00026029348373413086,0.7456384,2649600,425,13800
13899,65.54,1.9073846340179443,0.0004,-0.016145547851920128,6270,-0.18350189924240112,4.186260223388672,0.0009827017784118652,0.7437952,2668800,425,13900
13999,43.05,2.377288818359375,0.0004,-0.009321561083197594,6316,-0.13787689805030823,3.569746971130371,0.00029605627059936523,0.741952,2688000,425,14000
14099,54.69,0.9125144481658936,0.0004,0.004551038146018982,6360,-0.1731027215719223,3.9261057376861572,0.0011494159698486328,0.7401088,2707200,425,14100
14199,30.11,0.9590657949447632,0.0004,-0.01021172758191824,6406,-0.14588002860546112,2.8601315021514893,0.0017807483673095703,0.7382656000000001,2726400,425,14200
14299,41.96,2.021191120147705,0.0004,0.01639578491449356,6450,-0.1722750961780548,3.154583692550659,0.0012812018394470215,0.7364223999999999,2745600,425,14300
14399,55.6,2.8415493965148926,0.0004,-0.02204551361501217,6495,-0.17612814903259277,3.934647560119629,0.0002231001853942871,0.7345792,2764800,425,14400
14499,65.97,5.525863170623779,0.0004,-0.02993098460137844,6541,-0.18740837275981903,4.41954231262207,0.0009524822235107422,0.732736,2784000,425,14500
14599,41.84,0.6311139464378357,0.0004,-0.012564568780362606,6586,-0.1680087447166443,4.245442867279053,0.0020025968551635742,0.7308928,2803200,425,14600
14699,33.45,2.408787727355957,0.0004,0.10773256421089172,6632,-0.19023935496807098,3.2534379959106445,0.00011497735977172852,0.7290496,2822400,425,14700
14799,19.54,1.675732970237732,0.0004,-0.028158262372016907,6677,-0.16198889911174774,2.2502684593200684,0.00020748376846313477,0.7272064,2841600,425,14800
14899,43.82,1.8003761768341064,0.0004,-0.0844741016626358,6720,-0.17832188308238983,3.609548568725586,0.000536799430847168,0.7253632,2860800,425,14900
14999,43.45,2.019176721572876,0.0004,-0.04698304086923599,6766,-0.17387521266937256,3.6383166313171387,0.001103222370147705,0.72352,2880000,425,15000
15099,56.12,1.141951084136963,0.0004,-0.0718923807144165,6811,-0.16878259181976318,4.700411796569824,0.0007852911949157715,0.7216768,2899200,425,15100
15199,29.21,1.0716102123260498,0.0004,-0.06495967507362366,6855,-0.1853645294904709,2.663539171218872,0.0004950165748596191,0.7198336000000001,2918400,425,15200
15299,53.8,2.8185203075408936,0.0004,-0.029243703931570053,6901,-0.18761616945266724,4.471156597137451,0.00039643049240112305,0.7179903999999999,2937600,425,15300
15399,55.32,2.600922107696533,0.0004,-0.14371392130851746,6946,-0.19454674422740936,3.7922894954681396,0.0001696944236755371,0.7161472,2956800,425,15400
15499,30.45,2.772233009338379,0.0004,0.017032256349921227,6991,-0.1601581573486328,2.719557762145996,0.0011535286903381348,0.714304,2976000,425,15500
15599,30.59,1.6741080284118652,0.0004,-0.11664403975009918,7036,-0.16458392143249512,3.64725923538208,-4.208087921142578e-05,0.7124608,2995200,425,15600
15699,41.41,1.676027536392212,0.0004,-0.025687430053949356,7083,-0.1697215735912323,3.5034775733947754,0.001116931438446045,0.7106176,3014400,425,15700
15799,20.0,1.591783881187439,0.0004,-0.021026937291026115,7130,-0.16542336344718933,2.478107213973999,0.0009163022041320801,0.7087744,3033600,425,15800
15899,30.37,2.7261273860931396,0.0004,0.01924823597073555,7176,-0.18822705745697021,2.914243221282959,5.9485435485839844e-05,0.7069312000000001,3052800,425,15900
15999,19.21,2.342712640762329,0.0004,-0.0010059159249067307,7222,-0.18022751808166504,2.3358733654022217,0.0005663633346557617,0.705088,3072000,425,16000
16099,31.64,1.1191322803497314,0.0004,0.0080479197204113,7267,-0.16850265860557556,3.2874932289123535,0.0004755258560180664,0.7032448,3091200,425,16100
16199,64.38,0.23731879889965057,0.0004,0.036598239094018936,7312,-0.1645984649658203,4.833477973937988,0.0016576051712036133,0.7014016000000001,3110400,425,16200
16299,31.36,1.017951488494873,0.0004,-0.06513692438602448,7359,-0.13888630270957947,3.460184097290039,0.001440286636352539,0.6995583999999999,3129600,425,16300
16399,30.05,3.4395580291748047,0.0004,-0.03854004293680191,7403,-0.15317849814891815,3.284149169921875,-5.9485435485839844e-05,0.6977152,3148800,425,16400
16499,19.86,1.8682615756988525,0.0004,-0.05031469464302063,7448,-0.15816277265548706,2.459338665008545,0.0012177824974060059,0.695872,3168000,425,16500
16599,31.05,1.7343635559082031,0.0004,-0.024000093340873718,7492,-0.1715928316116333,2.5809032917022705,0.00032526254653930664,0.6940288,3187200,425,16600
16699,18.57,2.4616525173187256,0.0004,-0.03208187222480774,7537,-0.1697167158126831,2.142273187637329,0.0008393526077270508,0.6921856,3206400,425,16700
16799,42.22,4.096333980560303,0.0004,0.0678127333521843,7583,-0.17738501727581024,4.008279323577881,0.00012493133544921875,0.6903424,3225600,425,16800
16899,18.6,3.8143908977508545,0.0004,0.03990636393427849,7629,-0.15489640831947327,2.2837657928466797,-0.00015175342559814453,0.6884992000000001,3244800,425,16900
16999,20.41,2.5910441875457764,0.0004,0.029277004301548004,7675,-0.1681932657957077,2.5051233768463135,0.0006156563758850098,0.6866559999999999,3264000,425,17000
17099,43.02,1.8659871816635132,0.0004,-0.009562189690768719,7721,-0.16171032190322876,3.2515523433685303,0.001142263412475586,0.6848128,3283200,425,17100
17199,55.39,4.58797025680542,0.0004,0.018171735107898712,7765,-0.14892350137233734,4.56907844543457,-0.00030434131622314453,0.6829696000000001,3302400,425,17200
17299,45.29,4.2183356285095215,0.0004,-0.012379603460431099,7810,-0.18077349662780762,3.6993026733398438,0.00015240907669067383,0.6811264,3321600,425,17300
17399,53.59,2.3258538246154785,0.0004,-0.09161923825740814,7858,-0.15779760479927063,2.9769327640533447,-0.0001049041748046875,0.6792832,3340800,425,17400
17499,20.29,3.8705568313598633,0.0004,0.04578384757041931,7901,-0.17669150233268738,2.5442028045654297,7.218122482299805e-05,0.67744,3360000,425,17500
17599,55.05,0.3869466185569763,0.0004,0.033689577132463455,7948,-0.15866971015930176,4.99923849105835,-0.0021795034408569336,0.6755968,3379200,425,17600
17699,39.79,1.4411119222640991,0.0004,-0.06545953452587128,7993,-0.17618469893932343,3.425978422164917,0.00017261505126953125,0.6737536,3398400,425,17700
17799,55.42,0.529365062713623,0.0004,-0.2317216396331787,8038,-0.15203915536403656,4.189336776733398,0.0003173351287841797,0.6719104,3417600,425,17800
17899,31.95,3.5537211894989014,0.0004,0.005527126602828503,8084,-0.18611598014831543,2.7158312797546387,0.00021827220916748047,0.6700672000000001,3436800,425,17900
17999,32.18,7.64536190032959,0.0004,0.033954769372940063,8128,-0.17265163362026215,3.1868057250976562,0.0003821849822998047,0.6682239999999999,3456000,425,18000
18099,32.17,2.675353527069092,0.0004,-0.026829421520233154,8173,-0.18488620221614838,2.6950197219848633,0.0006858110427856445,0.6663808,3475200,425,18100
18199,18.57,2.0710630416870117,0.0004,0.06296735256910324,8218,-0.15832027792930603,2.3349926471710205,0.0003007054328918457,0.6645376000000001,3494400,425,18200
18299,41.07,1.692074179649353,0.0004,-0.02909429930150509,8261,-0.1478300392627716,3.0225844383239746,0.0012636780738830566,0.6626944,3513600,425,18300
18399,42.89,0.9724869132041931,0.0004,0.01445033960044384,8308,-0.16045260429382324,2.939694881439209,0.0006546378135681152,0.6608512,3532800,425,18400
18499,57.52,1.1723978519439697,0.0004,-0.024261251091957092,8353,-0.18191158771514893,4.546751499176025,0.0007803440093994141,0.659008,3552000,425,18500
18599,41.9,2.0764756202697754,0.0004,0.016482338309288025,8398,-0.18668398261070251,3.8789355754852295,0.0007867217063903809,0.6571648,3571200,425,18600
18699,20.22,2.744070053100586,0.0004,0.07017786800861359,8443,-0.18654325604438782,2.454833507537842,0.00022274255752563477,0.6553216,3590400,425,18700
18799,18.0,1.7554315328598022,0.0004,-0.011824826709926128,8487,-0.15727001428604126,2.2712745666503906,0.0008639097213745117,0.6534784,3609600,425,18800
18899,19.97,2.1000733375549316,0.0004,0.030937446281313896,8533,-0.16306501626968384,2.4546353816986084,0.0007078051567077637,0.6516352000000001,3628800,425,18900
18999,41.09,2.2043545246124268,0.0004,0.001863431534729898,8578,-0.1784178465604782,3.7729744911193848,0.0006784796714782715,0.6497919999999999,3648000,425,19000
19099,31.14,6.826650142669678,0.0004,0.029407605528831482,8622,-0.16661685705184937,3.000689744949341,-6.401538848876953e-05,0.6479488,3667200,425,19100
19199,54.14,4.835814476013184,0.0004,0.03826811909675598,8668,-0.170859694480896,4.764654159545898,6.663799285888672e-05,0.6461056000000001,3686400,425,19200
19299,30.66,1.5223615169525146,0.0004,0.06834825873374939,8713,-0.1695249080657959,3.4602508544921875,0.000507652759552002,0.6442624,3705600,425,19300
19399,32.23,1.4096109867095947,0.0004,-0.0761369913816452,8759,-0.13276129961013794,2.7779791355133057,0.0010589361190795898,0.6424192,3724800,425,19400
19499,32.07,0.5646354556083679,0.0004,0.09140896797180176,8804,-0.15629278123378754,2.939542293548584,0.0027145743370056152,0.640576,3744000,425,19500
19599,31.11,2.463067054748535,0.0004,-0.05324282497167587,8847,-0.186196431517601,2.799135446548462,0.0005843043327331543,0.6387328000000001,3763200,425,19600
